,arrivetime,leavetime,longitude,latitude,country,region
217,2019-11-26 01:48:42.292,2019-11-26 01:50:16.632,19.491598129272,41.326320648193,alb,11
218,2019-11-26 01:48:42.336,2019-11-26 01:50:35.451,19.7714790262831,41.3246084573101,alb,11
219,2019-11-26 01:48:42.483,2019-11-26 01:51:30.870,19.8255762316516,41.318379262063,alb,11
220,2019-11-26 01:48:42.496,2019-11-26 01:49:48.777,19.5020313,41.3135508,alb,11
221,2019-11-26 01:48:42.497,2019-11-26 01:50:31.404,19.7921909825533,41.3338478517954,alb,11
222,2019-11-26 01:48:42.543,2019-11-26 01:49:42.913,19.793363571167,41.327255249023,alb,11
223,2019-11-26 01:48:42.551,2019-11-26 01:51:04.970,19.4402347,41.3117082,alb,11
224,2019-11-26 01:48:42.555,2019-11-26 01:50:05.717,19.4818342,41.3311773,alb,11
225,2019-11-26 01:48:42.583,2019-11-26 01:49:49.147,19.4518665158241,41.320089988032,alb,11
226,2019-11-26 01:48:42.586,2019-11-26 01:50:01.843,19.456453323364,41.317813873291,alb,11
227,2019-11-26 01:48:42.772,2019-11-26 01:51:01.282,19.8407707214356,41.3279571533203,alb,11
228,2019-11-26 01:48:42.892,2019-11-26 01:51:35.305,19.5608176,41.3252588,alb,11
229,2019-11-26 01:48:42.914,2019-11-26 01:50:15.865,19.82522551,41.33286223,alb,11
230,2019-11-26 01:48:43.041,2019-11-26 01:51:03.378,19.7816172742906,41.3195911090452,alb,11
231,2019-11-26 01:48:43.061,2019-11-26 01:50:34.359,19.8353217,41.3373568,alb,11
232,2019-11-26 01:48:43.118,2019-11-26 01:50:06.793,19.4386346326423,41.3277098694373,alb,11
233,2019-11-26 01:48:43.129,2019-11-26 01:50:37.333,19.805084228516,41.332183837891,alb,11
234,2019-11-26 01:48:43.157,2019-11-26 01:50:37.018,19.5459442,41.3858781,alb,11
235,2019-11-26 01:48:43.250,2019-11-26 01:49:43.392,19.840435028076,41.336990356445,alb,11
236,2019-11-26 01:48:43.384,2019-11-26 01:50:08.022,19.802379608154,41.343166351318,usa,ma
237,2019-11-26 01:48:43.445,2019-11-26 01:49:55.603,19.4871963672744,41.3819304315039,alb,11
238,2019-11-26 01:48:43.551,2019-11-26 01:49:43.845,19.80237197876,41.316013336182,alb,11
239,2019-11-26 01:48:43.752,2019-11-26 01:49:43.860,19.813505172729,41.328258514404,alb,11
240,2019-11-26 01:48:43.787,2019-11-26 01:50:37.672,19.8399272,41.3299603,alb,11
241,2019-11-26 01:48:43.835,2019-11-26 01:55:36.734,19.815399687037,41.3137241611728,alb,11
242,2019-11-26 01:48:43.899,2019-11-26 01:50:10.829,19.8679848804106,41.3503218115428,alb,11
243,2019-11-26 01:48:43.900,2019-11-26 01:50:37.377,19.85797,41.3458992,alb,11
244,2019-11-26 01:48:43.968,2019-11-26 01:50:14.254,19.7962100414225,41.3276341138695,alb,11
245,2019-11-26 01:48:43.979,2019-11-26 01:49:44.114,19.773288726807,41.324813842773,alb,11
246,2019-11-26 01:48:44.013,2019-11-26 01:49:44.562,19.8212813376047,41.3576997283731,alb,11
247,2019-11-26 01:48:44.020,2019-11-26 01:49:47.207,19.8250291,41.3307984,alb,11
248,2019-11-26 01:48:44.032,2019-11-26 01:49:49.530,19.4733376,41.3147903,alb,11
249,2019-11-26 01:48:44.043,2019-11-26 01:50:02.036,19.7851842358488,41.3272081271414,alb,11
250,2019-11-26 01:48:44.047,2019-11-26 01:50:36.826,19.794675827026,41.325206756592,alb,11
251,2019-11-26 01:48:44.060,2019-11-26 01:49:44.188,19.8010338,41.3273197,alb,11
252,2019-11-26 01:48:44.080,2019-11-26 01:51:34.981,19.8726887564702,41.3472574725276,alb,11
253,2019-11-26 01:48:44.114,2019-11-26 01:50:27.725,19.8197932,41.3450809,alb,11
254,2019-11-26 01:48:44.139,2019-11-26 01:51:33.940,19.7929756070394,41.3365847718881,alb,11
255,2019-11-26 01:48:44.188,2019-11-26 01:50:05.055,19.849054336548,41.334266662598,alb,11
256,2019-11-26 01:48:44.249,2019-11-26 01:50:12.050,19.8278208200769,41.343820061179,alb,11
257,2019-11-26 01:48:44.314,2019-11-26 01:51:29.408,19.4551621902786,41.3191456097756,alb,11
258,2019-11-26 01:48:44.330,2019-11-26 01:49:49.787,19.7771828162363,41.3298267650852,alb,12
259,2019-11-26 01:48:44.354,2019-11-26 01:50:34.684,19.832649230957,41.338680267334,alb,11
260,2019-11-26 01:48:44.371,2019-11-26 01:51:35.612,19.4575741967387,41.3181359722294,alb,11
261,2019-11-26 01:48:44.381,2019-11-26 01:49:45.008,19.4879016876221,41.3265571594238,alb,11
262,2019-11-26 01:48:44.396,2019-11-26 01:49:48.011,19.4615336,41.3170607,alb,11
263,2019-11-26 01:48:44.425,2019-11-26 01:50:19.574,19.8079852339119,41.3149677629767,alb,11
264,2019-11-26 01:48:44.429,2019-11-26 01:50:09.425,19.769355773926,41.374946594238,alb,11
265,2019-11-26 01:48:44.472,2019-11-26 01:50:18.357,19.453090667725,41.320835113525,alb,11
266,2019-11-26 01:48:44.504,2019-11-26 01:49:45.493,19.4586049,41.3197062,alb,11
267,2019-11-26 01:48:44.521,2019-11-26 01:49:44.841,19.775283813477,41.324649810791,alb,11
268,2019-11-26 01:48:44.559,2019-11-26 01:51:30.448,19.4451378107293,41.3225354431726,alb,11
